Card Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Card Raw Game Text
Grounded Headlock	Submission	Core	1	3	3	H				Ongoing - Choose a Non-Signature card in Opponent's Ring. That card loses all abilities except Permanent. It has 0M.
Knee Bar	Submission	Core	1	5	3	L				Permanent. Enters - Gain 2 Stamina
Showoff Lock	Submission	Core	1	1	1	-				Enters - Choose one: Attempt to Draw Heat or Attempt to Get a Pop. 
Kneelock	Submission	Core	2	3	6	L				
Standing Arm Lock	Submission	Core	2	4	2	A				Ongoing - Opponent's Grapples are +1C.
Standing Leg Lock	Submission	Core	2	4	2	L				Ongoing - Opponent's Strikes are +1C.
Standing Waist Lock	Submission	Core	2	4	2	T				Ongoing - Opponent's Submissions are +1C.
Sleeper	Submission	Core	3	6	6	H				Enters - Stun opponent. That card loses Permanent this turn.
Fujiwara Armbar	Submission	Core	5	6	6	A				Ongoing - Your opponents Strikes are Cost +1.
Arm Wringer 	Submission	Core	6	6	6	A				Ongoing - Your maneuvers with T:A are +2D.
Bear Hug	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:T are +2D.
Neck Wringer	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:H are +2D.
Stump Puller	Submission	Core	6	6	6	L				Ongoing - Your maneuvers with T:L are +2D.
Key Lock	Submission	Core	8	4	4	A				Ongoing - Choose a card in opponent's market. They can't purchase that card. 
Single Leg Crab	Submission	Core	8	7	7	L				Ongoing - Opponent's market is -1.
Bulldog Choke	Submission	Core	10	10	10	H				Ongoing - Opponent's Hand is -1. Jon Moxley - Damage +3.
Figure Four Leg Lock	Submission	Core	16	12	12	L				
The Hurt Lock	Submission	Core	18	10	12	H		TRUE	Bobby Lashley	Finisher, Power Attack 
Ankle Hook	Submission	Core	4	3	6	L				Focus Attack. Ongoing - Opponent's Kicks are -2D
Bobby Lashley	Wrestler	Core	N/a	N/a	5			TRUE	Bobby Lashley	Tie-Up Action - Commit : Play a maneuver from your hand. It gains "Enters - Draw two cards." 
Jon Moxley	Wrestler	Core	N/a	N/a	5			TRUE	Jon Moxley 	Tie-Up Action - Commit : play a maneuver from your hand, it is +5D.
Kenny Omega	Wrestler	Core	N/a	N/a	5			TRUE	Kenny Omega	Ready Action - Commit : Discard a card then draw two cards. 
Swerve Strickland	Wrestler	Core	N/a	N/a	5			TRUE	Swerve Strickland	Recovery Action - Commit : put a card from your discard pile under your draw deck. 
Toni Storm	Wrestler	Core	N/a	N/a	5			TRUE	Toni Storm 	Recovery Action - Commit : Put up to two action cards from you discard benath your draw deck.
										
		Core								
		Core								
										
										
										
										
										
										
										
										
										
		Core								
		Core								
		Core								
